id,title_romaji,title_english,episodes,duration,genres,tags_id,tags_name
1,Cowboy Bebop,Cowboy Bebop,26,24,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","[63, 648, 193, 105, 109, 327, 85, 157, 82, 108, 391, 1310, 931, 30, 104, 285, 240, 801, 91, 199, 489, 586, 40, 335, 100, 1277, 476]","['Space', 'Crime', 'Episodic', 'Ensemble Cast', 'Primarily Adult Cast', 'Noir', 'Tragedy', 'Guns', 'Male Protagonist', 'Cyberpunk', 'Philosophy', 'Travel', 'Tomboy', 'Martial Arts', 'Anti-Hero', 'Terrorism', 'Amnesia', 'Cyborg', 'Gambling', 'Yakuza', 'Drugs', 'Cult', 'Police', 'Tanned Skin', 'Nudity', 'Found Family', 'Circus']"
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,1,115,"['Action', 'Drama', 'Mystery', 'Sci-Fi']","[285, 109, 30, 931, 63, 648, 391, 82, 327, 157, 104, 240, 105, 108, 34, 198, 145, 801]","['Terrorism', 'Primarily Adult Cast', 'Martial Arts', 'Tomboy', 'Space', 'Crime', 'Philosophy', 'Male Protagonist', 'Noir', 'Guns', 'Anti-Hero', 'Amnesia', 'Ensemble Cast', 'Cyberpunk', 'Military', 'Foreign', 'Work', 'Cyborg']"
6,TRIGUN,Trigun,26,24,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']","[157, 226, 82, 109, 128, 391, 648, 85, 56, 193, 494, 1453, 1310, 191, 63, 95, 93, 83, 1091, 639]","['Guns', 'Fugitive', 'Male Protagonist', 'Primarily Adult Cast', 'Incest', 'Philosophy', 'Crime', 'Tragedy', 'Shounen', 'Episodic', 'Twins', 'Desert', 'Travel', 'Aliens', 'Space', 'Steampunk', 'Post-Apocalyptic', 'Slapstick', 'Religion', 'Body Horror']"
7,Witch Hunter ROBIN,Witch Hunter ROBIN,26,25,"['Action', 'Drama', 'Mystery', 'Supernatural']","[98, 40, 29, 321, 456, 327, 179, 226, 109, 779]","['Female Protagonist', 'Police', 'Magic', 'Urban Fantasy', 'Conspiracy', 'Noir', 'Witch', 'Fugitive', 'Primarily Adult Cast', 'Kuudere']"
8,Bouken Ou Beet,Beet the Vandel Buster,52,23,"['Adventure', 'Fantasy', 'Supernatural']",[56],['Shounen']
15,Eyeshield 21,Eyeshield 21,145,23,"['Action', 'Comedy', 'Sports']","[314, 56, 82, 46, 88, 84, 102, 171, 83, 395, 85]","['American Football', 'Shounen', 'Male Protagonist', 'School', 'Primarily Male Cast', 'School Club', 'Coming of Age', 'Bullying', 'Slapstick', 'Delinquents', 'Tragedy']"
16,Hachimitsu to Clover,Honey and Clover,24,23,"['Comedy', 'Drama', 'Romance', 'Slice of Life']","[102, 27, 82, 404, 109, 139, 1045, 88, 118, 324, 779]","['Coming of Age', 'Josei', 'Male Protagonist', 'College', 'Primarily Adult Cast', 'Love Triangle', 'Heterosexual', 'Primarily Male Cast', 'Drawing', 'Chibi', 'Kuudere']"
17,Hungry Heart: Wild Striker,,52,23,"['Comedy', 'Slice of Life', 'Sports']","[148, 56, 84, 88]","['Football', 'Shounen', 'School Club', 'Primarily Male Cast']"
18,Initial D FOURTH STAGE,Initial D 4th Stage,24,27,"['Action', 'Drama', 'Sports']","[10, 50, 90, 250, 109, 82, 1045, 88, 155]","['Cars', 'Seinen', 'CGI', 'Rural', 'Primarily Adult Cast', 'Male Protagonist', 'Heterosexual', 'Primarily Male Cast', 'Rape']"
19,MONSTER,Monster,74,24,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller']","[648, 50, 694, 105, 391, 226, 252, 109, 327, 456, 365, 85, 494, 1052, 40, 198, 240, 82, 536, 659, 103, 153, 25, 1046, 157, 1310, 1382, 98, 1121, 186, 193, 94, 100, 155]","['Crime', 'Seinen', 'Detective', 'Ensemble Cast', 'Philosophy', 'Fugitive', 'Revenge', 'Primarily Adult Cast', 'Noir', 'Conspiracy', 'Memory Manipulation', 'Tragedy', 'Twins', 'Adoption', 'Police', 'Foreign', 'Amnesia', 'Male Protagonist', 'Dissociative Identities', 'Medicine', 'Politics', 'Time Skip', 'Historical', 'Suicide', 'Guns', 'Travel', 'Orphan', 'Female Protagonist', 'Torture', 'Crossdressing', 'Episodic', 'Gore', 'Nudity', 'Rape']"
